
time,ax,ay,az,wx,wy,wz,
4.61,-2.45,-0.24,0.23,1.80,-0.63,0.04,
4.613,-2.45,-0.24,0.23,1.78,-0.62,0.06,
4.614,-2.43,0.18,-0.02,1.78,-0.62,0.06,
4.614,-2.43,0.18,-0.02,1.76,-0.62,0.08,
4.616,-2.43,0.18,-0.02,1.73,-0.61,0.10,
4.618,-2.26,0.66,-0.24,1.73,-0.61,0.10,
4.619,-2.26,0.66,-0.24,1.69,-0.60,0.13,
4.623,-2.26,0.66,-0.24,1.65,-0.59,0.15,
4.624,-2.26,0.66,-0.24,1.61,-0.58,0.17,
4.624,-2.11,1.17,-0.40,1.61,-0.58,0.17,
4.628,-2.11,1.17,-0.40,1.56,-0.56,0.19,
4.628,-2.11,1.17,-0.40,1.51,-0.54,0.21,
4.629,-1.89,1.75,-0.52,1.51,-0.54,0.21,
4.631,-1.89,1.75,-0.52,1.46,-0.53,0.22,
4.633,-1.59,2.29,-0.62,1.46,-0.53,0.22,
4.655,-1.59,2.29,-0.62,1.40,-0.51,0.23,
4.656,-1.59,2.29,-0.62,1.34,-0.50,0.23,
4.656,-1.25,2.75,-0.74,1.34,-0.50,0.23,
4.657,-1.25,2.75,-0.74,1.28,-0.49,0.23,
4.657,-1.25,2.75,-0.74,1.21,-0.47,0.23,
4.658,-0.91,3.12,-0.84,1.21,-0.47,0.23,
4.658,-0.91,3.12,-0.84,1.14,-0.46,0.22,
4.659,-0.91,3.12,-0.84,1.07,-0.45,0.21,
4.659,-0.91,3.12,-0.84,0.99,-0.45,0.19,
4.659,-0.55,3.31,-0.94,0.99,-0.45,0.19,
4.66,-0.55,3.31,-0.94,0.92,-0.44,0.17,
4.661,-0.17,3.30,-0.99,0.92,-0.44,0.17,
4.661,-0.17,3.30,-0.99,0.84,-0.44,0.15,
4.661,-0.17,3.30,-0.99,0.75,-0.44,0.12,
4.662,0.22,3.08,-0.81,0.75,-0.44,0.12,
4.662,0.22,3.08,-0.81,0.66,-0.43,0.10,
4.663,0.22,3.08,-0.81,0.55,-0.41,0.08,
4.663,0.55,2.72,-0.62,0.55,-0.41,0.08,
4.664,0.55,2.72,-0.62,0.46,-0.39,0.05,
4.669,0.55,2.72,-0.62,0.35,-0.38,0.03,
4.67,0.82,2.26,-0.74,0.35,-0.38,0.03,
4.67,0.82,2.26,-0.74,0.24,-0.36,0.02,
4.67,0.82,2.26,-0.74,0.12,-0.34,0.01,
4.675,0.96,1.76,-1.21,0.12,-0.34,0.01,
4.676,0.96,1.76,-1.21,-0.01,-0.33,0.01,
4.676,0.96,1.76,-1.21,-0.14,-0.32,0.01,
4.678,1.07,1.26,-1.88,-0.14,-0.32,0.01,
4.679,1.07,1.26,-1.88,-0.28,-0.32,0.01,
4.681,1.07,1.26,-1.88,-0.42,-0.33,0.02,
4.683,1.17,0.86,-2.61,-0.42,-0.33,0.02,
4.684,1.17,0.86,-2.61,-0.57,-0.34,0.04,
4.685,1.17,0.86,-2.61,-0.72,-0.35,0.06,
4.693,1.17,0.86,-2.61,-0.87,-0.37,0.09,
4.695,1.42,0.56,-3.14,-0.87,-0.37,0.09,
4.695,1.42,0.56,-3.14,-1.03,-0.39,0.12,
4.696,1.42,0.56,-3.14,-1.19,-0.40,0.15,
4.696,1.74,0.31,-3.50,-1.19,-0.40,0.15,
4.696,1.74,0.31,-3.50,-1.34,-0.42,0.19,
4.699,1.74,0.31,-3.50,-1.50,-0.44,0.22,
4.699,2.14,0.02,-3.81,-1.50,-0.44,0.22,
4.7,2.14,0.02,-3.81,-1.65,-0.45,0.25,
4.704,2.58,-0.22,-3.73,-1.65,-0.45,0.25,
4.704,2.58,-0.22,-3.73,-1.80,-0.46,0.28,
4.708,2.58,-0.22,-3.73,-1.94,-0.46,0.31,
4.708,2.58,-0.22,-3.73,-2.07,-0.44,0.34,
4.709,3.09,-0.36,-3.02,-2.07,-0.44,0.34,
4.71,3.09,-0.36,-3.02,-2.19,-0.41,0.36,
4.713,3.59,-0.43,-1.96,-2.19,-0.41,0.36,
4.714,3.59,-0.43,-1.96,-2.30,-0.36,0.37,
4.715,3.59,-0.43,-1.96,-2.38,-0.30,0.38,
4.718,4.05,-0.33,-0.54,-2.38,-0.30,0.38,
4.718,4.05,-0.33,-0.54,-2.45,-0.22,0.37,
4.72,4.05,-0.33,-0.54,-2.50,-0.13,0.36,
4.724,4.41,-0.06,1.24,-2.50,-0.13,0.36,
4.726,4.41,-0.06,1.24,-2.53,-0.02,0.35,
4.727,4.41,-0.06,1.24,-2.54,0.10,0.32,
4.728,4.41,-0.06,1.24,-2.52,0.24,0.28,
4.728,4.52,0.27,3.12,-2.52,0.24,0.28,
4.73,4.52,0.27,3.12,-2.48,0.38,0.23,
4.732,4.42,0.66,4.74,-2.48,0.38,0.23,
4.733,4.42,0.66,4.74,-2.42,0.52,0.18,
4.736,4.42,0.66,4.74,-2.33,0.66,0.13,
4.738,4.11,1.05,5.95,-2.33,0.66,0.13,
4.739,4.11,1.05,5.95,-2.23,0.78,0.06,
4.741,4.11,1.05,5.95,-2.10,0.89,-0.01,
4.742,3.65,1.42,6.68,-2.10,0.89,-0.01,
4.743,3.65,1.42,6.68,-1.95,0.97,-0.08,
4.746,3.65,1.42,6.68,-1.78,1.03,-0.15,
4.748,2.95,1.78,7.04,-1.78,1.03,-0.15,
4.749,2.95,1.78,7.04,-1.60,1.05,-0.23,
4.751,2.95,1.78,7.04,-1.40,1.05,-0.31,
4.752,2.16,2.08,7.39,-1.40,1.05,-0.31,
4.753,2.16,2.08,7.39,-1.18,1.02,-0.38,
4.755,2.16,2.08,7.39,-0.96,0.97,-0.46,
4.758,1.42,2.21,8.16,-0.96,0.97,-0.46,
4.758,1.42,2.21,8.16,-0.71,0.90,-0.54,
4.76,1.42,2.21,8.16,-0.46,0.81,-0.61,
4.762,0.87,1.95,9.45,-0.46,0.81,-0.61,
4.763,0.87,1.95,9.45,-0.21,0.73,-0.67,
4.765,0.87,1.95,9.45,0.05,0.64,-0.74,
4.767,0.81,1.15,10.51,0.05,0.64,-0.74,
4.767,0.81,1.15,10.51,0.30,0.55,-0.79,
4.77,0.81,1.15,10.51,0.54,0.45,-0.84,
4.775,0.81,1.15,10.51,0.76,0.32,-0.88,
4.776,1.28,-0.11,9.25,0.76,0.32,-0.88,
4.778,1.28,-0.11,9.25,0.95,0.14,-0.91,
4.778,1.28,-0.11,9.25,1.11,-0.08,-0.93,
4.779,1.86,-1.44,5.47,1.11,-0.08,-0.93,
4.78,1.86,-1.44,5.47,1.23,-0.35,-0.93,
4.783,2.28,-2.18,1.69,1.23,-0.35,-0.93,
4.784,2.28,-2.18,1.69,1.33,-0.65,-0.93,
4.784,2.28,-2.18,1.69,1.41,-0.95,-0.91,
4.794,2.56,-2.19,-0.70,1.41,-0.95,-0.91,
4.795,2.56,-2.19,-0.70,1.47,-1.24,-0.88,
4.795,2.56,-2.19,-0.70,1.52,-1.51,-0.84,
4.796,2.83,-2.09,-1.59,1.52,-1.51,-0.84,
4.796,2.83,-2.09,-1.59,1.56,-1.74,-0.78,
4.797,2.83,-2.09,-1.59,1.60,-1.91,-0.70,
4.797,3.11,-2.44,-1.17,1.60,-1.91,-0.70,
4.803,3.11,-2.44,-1.17,1.62,-2.01,-0.61,
4.826,3.11,-2.44,-1.17,1.63,-2.01,-0.49,
4.827,3.31,-3.25,0.25,1.63,-2.01,-0.49,
4.828,3.31,-3.25,0.25,1.63,-1.92,-0.36,
4.828,3.31,-3.25,0.25,1.63,-1.73,-0.22,
4.828,3.31,-3.25,0.25,1.61,-1.46,-0.06,
4.829,3.31,-3.25,0.25,1.59,-1.12,0.10,
4.829,3.42,-4.04,1.78,1.59,-1.12,0.10,
4.83,3.38,-4.60,2.19,1.59,-1.12,0.10,
4.83,3.38,-4.60,2.19,1.56,-0.73,0.27,
4.831,3.38,-4.60,2.19,1.50,-0.31,0.42,
4.831,3.13,-4.61,1.11,1.50,-0.31,0.42,
4.831,3.13,-4.61,1.11,1.44,0.12,0.58,
4.832,3.13,-4.61,1.11,1.36,0.54,0.72,
4.832,3.13,-4.61,1.11,1.28,0.92,0.83,
4.833,2.98,-3.74,-0.84,1.28,0.92,0.83,
4.833,2.98,-3.74,-0.84,1.20,1.27,0.92,
4.833,2.98,-3.74,-0.84,1.12,1.57,0.98,
4.834,2.99,-2.33,-2.68,1.12,1.57,0.98,
4.834,2.99,-2.33,-2.68,1.04,1.80,1.00,
4.834,3.08,-0.70,-3.63,1.04,1.80,1.00,
4.835,3.08,-0.70,-3.63,0.96,1.96,1.00,
4.835,3.08,-0.70,-3.63,0.88,2.08,0.96,
4.841,2.87,0.56,-2.94,0.88,2.08,0.96,
4.843,2.87,0.56,-2.94,0.82,2.14,0.91,
4.843,2.87,0.56,-2.94,0.76,2.15,0.84,
4.844,2.36,1.25,-1.26,0.76,2.15,0.84,
4.844,2.36,1.25,-1.26,0.71,2.14,0.75,
4.845,2.36,1.25,-1.26,0.66,2.09,0.66,
4.848,1.61,1.42,0.04,0.66,2.09,0.66,
4.849,1.61,1.42,0.04,0.61,2.01,0.56,
4.85,1.61,1.42,0.04,0.56,1.90,0.47,
4.852,0.59,1.30,0.43,0.56,1.90,0.47,
4.853,0.59,1.30,0.43,0.52,1.76,0.37,
4.857,0.59,1.30,0.43,0.47,1.59,0.28,
4.858,-0.53,1.18,-0.27,0.47,1.59,0.28,
4.86,-0.53,1.18,-0.27,0.42,1.39,0.20,
4.861,-0.53,1.18,-0.27,0.37,1.17,0.13,
4.862,-0.53,1.18,-0.27,0.31,0.92,0.06,
4.862,-1.79,1.09,-1.56,0.31,0.92,0.06,
4.864,-1.79,1.09,-1.56,0.24,0.66,-0.00,
4.867,-2.96,1.03,-2.92,0.24,0.66,-0.00,
4.867,-2.96,1.03,-2.92,0.16,0.40,-0.05,
4.869,-2.96,1.03,-2.92,0.08,0.14,-0.09,
4.874,-3.83,0.94,-3.93,0.08,0.14,-0.09,
4.875,-3.83,0.94,-3.93,0.00,-0.10,-0.12,
4.875,-3.83,0.94,-3.93,-0.09,-0.32,-0.15,
4.877,-4.30,0.71,-4.24,-0.09,-0.32,-0.15,
4.877,-4.30,0.71,-4.24,-0.18,-0.50,-0.16,
4.879,-4.30,0.71,-4.24,-0.27,-0.64,-0.15,
4.882,-4.46,0.29,-3.93,-0.27,-0.64,-0.15,
4.882,-4.46,0.29,-3.93,-0.37,-0.74,-0.14,
4.884,-4.46,0.29,-3.93,-0.46,-0.81,-0.12,
4.886,-4.33,-0.42,-3.38,-0.46,-0.81,-0.12,
4.887,-4.33,-0.42,-3.38,-0.56,-0.85,-0.09,
4.89,-4.33,-0.42,-3.38,-0.66,-0.86,-0.05,
4.892,-3.98,-1.25,-2.96,-0.66,-0.86,-0.05,
4.892,-3.98,-1.25,-2.96,-0.75,-0.84,-0.00,
4.896,-3.98,-1.25,-2.96,-0.86,-0.81,0.05,
4.898,-3.98,-1.25,-2.96,-0.96,-0.76,0.11,
4.898,-3.51,-2.02,-3.04,-0.96,-0.76,0.11,
4.9,-3.51,-2.02,-3.04,-1.05,-0.71,0.18,
4.902,-2.94,-2.67,-3.62,-1.05,-0.71,0.18,
4.902,-2.94,-2.67,-3.62,-1.15,-0.66,0.24,
4.908,-2.94,-2.67,-3.62,-1.25,-0.61,0.31,
4.909,-2.29,-3.18,-4.40,-1.25,-0.61,0.31,
4.909,-2.29,-3.18,-4.40,-1.34,-0.56,0.39,
4.91,-2.29,-3.18,-4.40,-1.43,-0.52,0.46,
4.912,-1.49,-3.62,-4.86,-1.43,-0.52,0.46,
4.912,-1.49,-3.62,-4.86,-1.52,-0.49,0.53,
4.914,-1.49,-3.62,-4.86,-1.60,-0.45,0.60,
4.917,-0.48,-4.05,-4.80,-1.60,-0.45,0.60,
4.917,-0.48,-4.05,-4.80,-1.67,-0.41,0.67,
4.919,-0.48,-4.05,-4.80,-1.73,-0.37,0.73,
4.923,0.65,-4.30,-3.87,-1.73,-0.37,0.73,
4.923,0.65,-4.30,-3.87,-1.78,-0.31,0.79,
4.924,0.65,-4.30,-3.87,-1.81,-0.24,0.84,
4.928,1.79,-4.27,-2.48,-1.81,-0.24,0.84,
4.928,1.79,-4.27,-2.48,-1.83,-0.16,0.88,
4.929,1.79,-4.27,-2.48,-1.83,-0.06,0.92,
4.932,2.68,-4.02,-1.12,-1.83,-0.06,0.92,
4.932,2.68,-4.02,-1.12,-1.82,0.05,0.95,
4.934,2.68,-4.02,-1.12,-1.79,0.17,0.96,
4.937,3.25,-3.58,-0.09,-1.79,0.17,0.96,
4.938,3.25,-3.58,-0.09,-1.75,0.29,0.97,
4.939,3.25,-3.58,-0.09,-1.68,0.41,0.97,
4.942,3.50,-3.01,0.56,-1.68,0.41,0.97,
4.942,3.50,-3.01,0.56,-1.60,0.52,0.95,
4.945,3.50,-3.01,0.56,-1.52,0.62,0.92,
4.947,3.44,-2.46,1.03,-1.52,0.62,0.92,
4.947,3.44,-2.46,1.03,-1.41,0.72,0.89,
4.949,3.44,-2.46,1.03,-1.30,0.80,0.84,
4.952,3.12,-1.96,1.41,-1.30,0.80,0.84,
4.952,3.12,-1.96,1.41,-1.18,0.86,0.79,
4.957,3.12,-1.96,1.41,-1.05,0.91,0.73,
4.958,2.59,-1.58,1.73,-1.05,0.91,0.73,
4.958,2.59,-1.58,1.73,-0.91,0.93,0.66,
4.959,2.59,-1.58,1.73,-0.77,0.93,0.58,
4.962,1.89,-1.33,1.92,-0.77,0.93,0.58,
4.962,1.89,-1.33,1.92,-0.62,0.91,0.49,
4.964,1.89,-1.33,1.92,-0.48,0.85,0.41,
4.982,1.03,-1.13,1.86,-0.48,0.85,0.41,
4.983,1.03,-1.13,1.86,-0.33,0.78,0.32,
4.983,1.03,-1.13,1.86,-0.19,0.69,0.23,
4.983,0.11,-1.02,1.63,-0.19,0.69,0.23,
4.984,0.11,-1.02,1.63,-0.04,0.57,0.14,
4.984,0.11,-1.02,1.63,0.10,0.45,0.06,
4.985,-0.82,-0.98,1.22,0.10,0.45,0.06,
4.985,-0.82,-0.98,1.22,0.23,0.30,-0.03,
4.985,-0.82,-0.98,1.22,0.36,0.15,-0.11,
4.986,-1.71,-0.87,0.83,0.36,0.15,-0.11,
4.986,-1.71,-0.87,0.83,0.47,0.00,-0.18,
4.986,-1.71,-0.87,0.83,0.59,-0.15,-0.24,
4.987,-2.42,-0.80,0.52,0.59,-0.15,-0.24,
4.987,-2.42,-0.80,0.52,0.68,-0.28,-0.30,
4.991,-2.42,-0.80,0.52,0.78,-0.41,-0.35,
4.993,-2.96,-0.80,0.30,0.78,-0.41,-0.35,
4.994,-2.96,-0.80,0.30,0.86,-0.52,-0.39,
4.994,-2.96,-0.80,0.30,0.93,-0.62,-0.42,
4.997,-3.32,-0.87,0.05,0.93,-0.62,-0.42,
4.997,-3.32,-0.87,0.05,0.99,-0.71,-0.44,
4.999,-3.32,-0.87,0.05,1.03,-0.78,-0.45,
5.003,-3.53,-1.01,-0.44,1.03,-0.78,-0.45,
5.007,-3.53,-1.01,-0.44,1.07,-0.85,-0.45,
5.008,-3.53,-1.01,-0.44,1.09,-0.91,-0.45,
5.008,-3.53,-1.01,-0.44,1.10,-0.96,-0.43,
5.01,-3.53,-1.01,-0.44,1.11,-1.01,-0.40,
5.011,-3.57,-1.18,-1.01,1.11,-1.01,-0.40,
5.012,-3.47,-1.35,-1.51,1.11,-1.01,-0.40,
5.012,-3.47,-1.35,-1.51,1.10,-1.05,-0.37,
5.016,-3.47,-1.35,-1.51,1.08,-1.08,-0.33,
5.016,-3.27,-1.52,-2.06,1.08,-1.08,-0.33,
5.02,-3.27,-1.52,-2.06,1.05,-1.11,-0.29,
5.02,-3.27,-1.52,-2.06,1.01,-1.13,-0.24,
5.024,-2.93,-1.52,-2.54,1.01,-1.13,-0.24,
5.025,-2.93,-1.52,-2.54,0.97,-1.15,-0.18,
5.025,-2.93,-1.52,-2.54,0.92,-1.15,-0.12,
5.026,-2.93,-1.52,-2.54,0.86,-1.14,-0.07,
5.027,-2.52,-1.47,-2.73,0.86,-1.14,-0.07,
5.03,-2.52,-1.47,-2.73,0.81,-1.13,-0.01,
5.031,-2.04,-1.33,-2.70,0.81,-1.13,-0.01,
5.031,-2.04,-1.33,-2.70,0.75,-1.10,0.06,
5.033,-2.04,-1.33,-2.70,0.69,-1.07,0.11,
5.036,-1.57,-1.13,-2.56,0.69,-1.07,0.11,
5.036,-1.57,-1.13,-2.56,0.63,-1.02,0.17,
5.043,-1.57,-1.13,-2.56,0.56,-0.96,0.23,
5.043,-1.57,-1.13,-2.56,0.50,-0.90,0.28,
5.043,-1.09,-0.89,-2.43,0.50,-0.90,0.28,
5.044,-1.09,-0.89,-2.43,0.44,-0.84,0.32,
5.046,-0.64,-0.64,-2.35,0.44,-0.84,0.32,
5.047,-0.64,-0.64,-2.35,0.39,-0.78,0.37,
5.053,-0.34,-0.37,-2.19,0.39,-0.78,0.37,
5.053,-0.34,-0.37,-2.19,0.33,-0.72,0.41,
5.053,-0.34,-0.37,-2.19,0.28,-0.66,0.44,
5.054,-0.34,-0.37,-2.19,0.23,-0.60,0.47,
5.057,-0.16,-0.15,-1.99,0.23,-0.60,0.47,
5.058,-0.16,-0.15,-1.99,0.18,-0.54,0.49,
5.059,-0.16,-0.15,-1.99,0.14,-0.48,0.51,
5.062,-0.04,0.05,-1.68,0.14,-0.48,0.51,
5.062,-0.04,0.05,-1.68,0.10,-0.43,0.52,
5.064,-0.04,0.05,-1.68,0.07,-0.38,0.54,
5.067,-0.08,0.21,-1.30,0.07,-0.38,0.54,
5.068,-0.08,0.21,-1.30,0.04,-0.32,0.54,
5.068,-0.08,0.21,-1.30,0.02,-0.27,0.55,
5.073,-0.08,0.21,-1.30,-0.00,-0.23,0.56,
5.073,-0.22,0.35,-0.94,-0.00,-0.23,0.56,
5.074,-0.22,0.35,-0.94,-0.02,-0.18,0.56,
5.076,-0.38,0.40,-0.56,-0.02,-0.18,0.56,
5.077,-0.38,0.40,-0.56,-0.04,-0.13,0.55,
5.078,-0.38,0.40,-0.56,-0.05,-0.09,0.55,
5.081,-0.38,0.40,-0.56,-0.06,-0.05,0.55,
5.081,-0.64,0.34,-0.29,-0.06,-0.05,0.55,
5.083,-0.64,0.34,-0.29,-0.06,-0.01,0.55,
5.086,-0.64,0.34,-0.29,-0.06,0.02,0.55,
5.086,-0.93,0.40,-0.17,-0.06,0.02,0.55,
5.09,-0.93,0.40,-0.17,-0.06,0.05,0.55,
5.091,-1.24,0.39,-0.24,-0.06,0.05,0.55,
5.092,-1.24,0.39,-0.24,-0.06,0.07,0.55,
5.095,-1.24,0.39,-0.24,-0.06,0.08,0.55,
5.096,-1.47,0.43,-0.37,-0.06,0.08,0.55,
5.097,-1.47,0.43,-0.37,-0.05,0.07,0.54,
5.098,-1.47,0.43,-0.37,-0.05,0.07,0.54,
5.101,-1.64,0.51,-0.47,-0.05,0.07,0.54,
5.102,-1.64,0.51,-0.47,-0.04,0.06,0.54,
5.104,-1.64,0.51,-0.47,-0.04,0.04,0.54,
5.106,-1.64,0.51,-0.47,-0.03,0.02,0.53,
5.107,-1.72,0.60,-0.50,-0.03,0.02,0.53,
5.109,-1.72,0.60,-0.50,-0.02,-0.00,0.52,
5.112,-1.72,0.60,-0.50,-0.01,-0.02,0.52,
5.112,-1.71,0.72,-0.36,-0.01,-0.02,0.52,
5.117,-1.71,0.72,-0.36,0.00,-0.04,0.51,
5.118,-1.71,0.72,-0.36,0.01,-0.06,0.50,
5.118,-1.61,0.78,-0.17,0.01,-0.06,0.50,
5.12,-1.61,0.78,-0.17,0.03,-0.07,0.49,
5.125,-1.42,0.83,0.01,0.03,-0.07,0.49,
5.126,-1.42,0.83,0.01,0.04,-0.08,0.48,
5.126,-1.42,0.83,0.01,0.06,-0.09,0.47,
5.128,-1.42,0.83,0.01,0.07,-0.10,0.45,
5.128,-1.17,0.96,0.04,0.07,-0.10,0.45,
5.131,-1.17,0.96,0.04,0.09,-0.12,0.44,
5.131,-1.17,0.96,0.04,0.10,-0.14,0.43,
5.153,-0.96,1.07,-0.15,0.10,-0.14,0.43,
5.153,-0.96,1.07,-0.15,0.12,-0.15,0.41,
5.154,-0.81,1.16,-0.45,0.12,-0.15,0.41,
5.154,-0.81,1.16,-0.45,0.13,-0.17,0.40,
5.154,-0.81,1.16,-0.45,0.13,-0.19,0.38,
5.155,-0.70,1.25,-0.63,0.13,-0.19,0.38,
5.155,-0.70,1.25,-0.63,0.14,-0.21,0.37,
5.156,-0.70,1.25,-0.63,0.14,-0.22,0.36,
5.156,-0.58,1.22,-0.64,0.14,-0.22,0.36,
5.156,-0.58,1.22,-0.64,0.15,-0.23,0.34,
5.157,-0.58,1.22,-0.64,0.15,-0.23,0.33,
5.157,-0.49,1.14,-0.69,0.15,-0.23,0.33,
5.157,-0.49,1.14,-0.69,0.14,-0.22,0.32,
5.158,-0.49,1.14,-0.69,0.13,-0.22,0.31,
5.158,-0.41,1.06,-0.84,0.13,-0.22,0.31,
5.159,-0.41,1.06,-0.84,0.12,-0.21,0.31,
5.16,-0.41,1.06,-0.84,0.11,-0.20,0.31,
5.167,-0.30,0.97,-1.08,0.11,-0.20,0.31,
5.17,-0.30,0.97,-1.08,0.09,-0.19,0.31,
5.171,-0.30,0.97,-1.08,0.07,-0.18,0.31,
5.171,-0.21,0.84,-1.19,0.07,-0.18,0.31,
5.172,-0.21,0.84,-1.19,0.05,-0.16,0.31,
5.172,-0.21,0.84,-1.19,0.02,-0.14,0.32,
5.172,-0.21,0.84,-1.19,-0.01,-0.12,0.33,
5.172,-0.23,0.71,-1.23,-0.01,-0.12,0.33,
5.173,-0.23,0.71,-1.23,-0.03,-0.09,0.34,
5.176,-0.17,0.58,-1.21,-0.03,-0.09,0.34,
5.177,-0.17,0.58,-1.21,-0.06,-0.06,0.35,
5.178,-0.17,0.58,-1.21,-0.09,-0.03,0.36,
5.18,-0.17,0.58,-1.21,-0.12,-0.00,0.38,
5.181,-0.03,0.50,-1.12,-0.12,-0.00,0.38,
5.182,-0.03,0.50,-1.12,-0.15,0.03,0.39,
5.186,0.18,0.44,-1.09,-0.15,0.03,0.39,
5.187,0.18,0.44,-1.09,-0.18,0.06,0.41,
5.191,0.18,0.44,-1.09,-0.20,0.09,0.42,
5.192,0.38,0.42,-1.15,-0.20,0.09,0.42,
5.192,0.38,0.42,-1.15,-0.23,0.11,0.43,
5.192,0.38,0.42,-1.15,-0.25,0.13,0.44,
5.196,0.55,0.44,-1.16,-0.25,0.13,0.44,
5.196,0.55,0.44,-1.16,-0.27,0.15,0.45,
5.197,0.55,0.44,-1.16,-0.28,0.16,0.46,
5.2,0.78,0.54,-0.91,-0.28,0.16,0.46,
5.2,0.78,0.54,-0.91,-0.29,0.18,0.47,
5.203,0.78,0.54,-0.91,-0.29,0.20,0.47,
5.205,0.78,0.54,-0.91,-0.28,0.23,0.48,
5.206,0.93,0.62,-0.60,-0.28,0.23,0.48,
5.208,0.93,0.62,-0.60,-0.28,0.26,0.48,
5.211,0.96,0.73,-0.28,-0.28,0.26,0.48,
5.211,0.96,0.73,-0.28,-0.26,0.29,0.47,
5.213,0.96,0.73,-0.28,-0.24,0.32,0.47,
5.215,0.92,0.90,-0.01,-0.24,0.32,0.47,
5.216,0.92,0.90,-0.01,-0.22,0.36,0.46,
5.218,0.92,0.90,-0.01,-0.19,0.39,0.45,
5.22,0.92,0.90,-0.01,-0.15,0.43,0.44,
5.221,0.81,1.07,0.38,-0.15,0.43,0.44,
5.224,0.81,1.07,0.38,-0.11,0.46,0.43,
5.225,0.66,1.19,0.67,-0.11,0.46,0.43,
5.226,0.66,1.19,0.67,-0.07,0.50,0.42,
5.229,0.66,1.19,0.67,-0.02,0.54,0.40,
5.232,0.49,1.32,0.77,-0.02,0.54,0.40,
5.233,0.49,1.32,0.77,0.03,0.56,0.38,
5.233,0.49,1.32,0.77,0.09,0.57,0.37,
5.236,0.31,1.49,0.71,0.09,0.57,0.37,
5.236,0.31,1.49,0.71,0.14,0.58,0.35,
5.241,0.31,1.49,0.71,0.20,0.57,0.33,
5.242,0.10,1.60,0.62,0.20,0.57,0.33,
5.243,0.10,1.60,0.62,0.25,0.55,0.31,
5.243,0.10,1.60,0.62,0.31,0.53,0.29,
5.246,-0.06,1.73,0.59,0.31,0.53,0.29,
5.246,-0.06,1.73,0.59,0.37,0.50,0.27,
5.249,-0.06,1.73,0.59,0.42,0.46,0.25,
5.252,-0.24,1.83,0.57,0.42,0.46,0.25,
5.252,-0.24,1.83,0.57,0.48,0.41,0.23,
5.252,-0.24,1.83,0.57,0.53,0.36,0.21,
5.257,-0.43,1.86,0.48,0.53,0.36,0.21,
5.258,-0.43,1.86,0.48,0.57,0.31,0.19,
5.258,-0.43,1.86,0.48,0.61,0.26,0.17,
5.261,-0.51,1.95,0.38,0.61,0.26,0.17,
5.261,-0.51,1.95,0.38,0.65,0.21,0.16,
5.263,-0.51,1.95,0.38,0.68,0.16,0.15,
5.265,-0.59,1.98,0.21,0.68,0.16,0.15,
5.265,-0.59,1.98,0.21,0.71,0.11,0.13,
5.268,-0.59,1.98,0.21,0.73,0.06,0.12,
5.27,-0.56,2.04,-0.08,0.73,0.06,0.12,
5.275,-0.56,2.04,-0.08,0.74,0.02,0.11,
5.275,-0.56,2.04,-0.08,0.74,-0.02,0.10,
5.276,-0.46,2.11,-0.31,0.74,-0.02,0.10,
5.276,-0.46,2.11,-0.31,0.74,-0.06,0.09,
5.279,-0.46,2.11,-0.31,0.74,-0.10,0.09,
5.281,-0.30,2.17,-0.54,0.74,-0.10,0.09,
5.286,-0.12,2.28,-0.91,0.74,-0.10,0.09,
5.286,-0.12,2.28,-0.91,0.73,-0.13,0.08,
5.287,-0.12,2.28,-0.91,0.71,-0.16,0.08,
5.287,-0.12,2.28,-0.91,0.69,-0.18,0.07,
5.295,-0.12,2.28,-0.91,0.66,-0.20,0.07,
5.296,-0.12,2.28,-0.91,0.62,-0.23,0.06,
5.296,0.04,2.40,-1.42,0.62,-0.23,0.06,
5.297,0.04,2.40,-1.42,0.58,-0.25,0.05,
5.297,0.04,2.40,-1.42,0.53,-0.28,0.05,
5.297,0.19,2.55,-2.09,0.53,-0.28,0.05,
5.319,0.19,2.55,-2.09,0.48,-0.30,0.04,
5.32,0.34,2.69,-2.51,0.48,-0.30,0.04,
5.32,0.34,2.69,-2.51,0.43,-0.31,0.03,
5.321,0.34,2.69,-2.51,0.37,-0.33,0.03,
5.321,0.55,2.80,-2.59,0.37,-0.33,0.03,
5.321,0.55,2.80,-2.59,0.30,-0.33,0.03,
5.322,0.55,2.80,-2.59,0.24,-0.32,0.02,
5.322,0.86,2.86,-2.29,0.24,-0.32,0.02,
5.323,0.86,2.86,-2.29,0.17,-0.30,0.02,
5.323,0.86,2.86,-2.29,0.10,-0.27,0.02,
5.324,0.86,2.86,-2.29,0.04,-0.22,0.02,
5.324,1.19,2.79,-1.81,0.04,-0.22,0.02,
5.325,1.19,2.79,-1.81,-0.03,-0.17,0.02,
5.325,1.19,2.79,-1.81,-0.09,-0.12,0.02,
5.326,1.52,2.69,-1.43,-0.09,-0.12,0.02,
5.326,1.52,2.69,-1.43,-0.16,-0.06,0.02,
5.327,1.52,2.69,-1.43,-0.23,-0.00,0.03,
5.327,1.78,2.58,-1.33,-0.23,-0.00,0.03,
5.328,1.78,2.58,-1.33,-0.29,0.05,0.04,
5.331,1.90,2.40,-1.51,-0.29,0.05,0.04,
5.332,1.90,2.40,-1.51,-0.35,0.09,0.05,
5.332,1.90,2.40,-1.51,-0.42,0.12,0.06,
5.335,1.90,2.19,-1.81,-0.42,0.12,0.06,
5.335,1.90,2.19,-1.81,-0.48,0.15,0.08,
